unit,partner,geotime,date,value
PC,COMM,FR,2005-01-01,44
PC,COMM,FR,2006-01-01,47
PC,COMM,FR,2007-01-01,54
PC,COMM,FR,2008-01-01,45
PC,COMM,FR,2009-01-01,39
PC,COMM,FR,2010-01-01,42
PC,COMM,FR,2011-01-01,
PC,COMM,FR,2012-01-01,42
PC,COMM,FR,2013-01-01,
PC,COMM,FR,2014-01-01,34
PC,COMM,FR,2015-01-01,30
PC,COMM,FR,2016-01-01,31
PC,COMM,FR,2017-01-01,36
PC,COMM,HR,1999-01-01,
PC,COMM,HR,2000-01-01,
PC,COMM,HR,2001-01-01,
PC,COMM,HR,2002-01-01,
PC,COMM,HR,2003-01-01,
PC,COMM,HR,2004-01-01,48
PC,COMM,HR,2005-01-01,44
PC,COMM,HR,2006-01-01,43
PC,COMM,HR,2007-01-01,39
PC,COMM,HR,2008-01-01,37
PC,COMM,HR,2009-01-01,34
PC,COMM,HR,2010-01-01,40
PC,COMM,HR,2011-01-01,
PC,COMM,HR,2012-01-01,37
PC,COMM,HR,2013-01-01,
PC,COMM,HR,2014-01-01,41
PC,COMM,HR,2015-01-01,48
PC,COMM,HR,2016-01-01,43
PC,COMM,HR,2017-01-01,42
PC,COMM,HU,1999-01-01,
PC,COMM,HU,2000-01-01,
PC,COMM,HU,2001-01-01,
PC,COMM,HU,2002-01-01,
PC,COMM,HU,2003-01-01,
PC,COMM,HU,2004-01-01,64
PC,COMM,HU,2005-01-01,58
PC,COMM,HU,2006-01-01,60
PC,COMM,HU,2007-01-01,61
PC,COMM,HU,2008-01-01,56
PC,COMM,HU,2009-01-01,54
PC,COMM,HU,2010-01-01,64
PC,COMM,HU,2011-01-01,
PC,COMM,HU,2012-01-01,54
PC,COMM,HU,2013-01-01,
PC,COMM,HU,2014-01-01,51
PC,COMM,HU,2015-01-01,49
PC,COMM,HU,2016-01-01,48
PC,COMM,HU,2017-01-01,53
PC,COMM,IE,1999-01-01,60
PC,COMM,IE,2000-01-01,63
PC,COMM,IE,2001-01-01,64
PC,COMM,IE,2002-01-01,67
PC,COMM,IE,2003-01-01,61
PC,COMM,IE,2004-01-01,66
PC,COMM,IE,2005-01-01,60
PC,COMM,IE,2006-01-01,60
PC,COMM,IE,2007-01-01,60
PC,COMM,IE,2008-01-01,50
PC,COMM,IE,2009-01-01,51
PC,COMM,IE,2010-01-01,46
PC,COMM,IE,2011-01-01,
PC,COMM,IE,2012-01-01,40
PC,COMM,IE,2013-01-01,
PC,COMM,IE,2014-01-01,39
PC,COMM,IE,2015-01-01,40
PC,COMM,IE,2016-01-01,51
PC,COMM,IE,2017-01-01,52
PC,COMM,IS,1999-01-01,
PC,COMM,IS,2000-01-01,
PC,COMM,IS,2001-01-01,
PC,COMM,IS,2002-01-01,
PC,COMM,IS,2003-01-01,
PC,COMM,IS,2004-01-01,
PC,COMM,IS,2005-01-01,
PC,COMM,IS,2006-01-01,
PC,COMM,IS,2007-01-01,
PC,COMM,IS,2008-01-01,
PC,COMM,IS,2009-01-01,
PC,COMM,IS,2010-01-01,50
PC,COMM,IS,2011-01-01,
PC,COMM,IS,2012-01-01,
PC,COMM,IS,2013-01-01,
PC,COMM,IS,2014-01-01,54
PC,COMM,IS,2015-01-01,
PC,COMM,IS,2016-01-01,
PC,COMM,IS,2017-01-01,
PC,COMM,IT,1999-01-01,63
PC,COMM,IT,2000-01-01,61
PC,COMM,IT,2001-01-01,62
PC,COMM,IT,2002-01-01,65
PC,COMM,IT,2003-01-01,60
PC,COMM,IT,2004-01-01,60
PC,COMM,IT,2005-01-01,57
PC,COMM,IT,2006-01-01,52
PC,COMM,IT,2007-01-01,50
PC,COMM,IT,2008-01-01,49
PC,COMM,IT,2009-01-01,51
PC,COMM,IT,2010-01-01,51
PC,COMM,IT,2011-01-01,
PC,COMM,IT,2012-01-01,40
PC,COMM,IT,2013-01-01,
PC,COMM,IT,2014-01-01,33
PC,COMM,IT,2015-01-01,33
PC,COMM,IT,2016-01-01,31
PC,COMM,IT,2017-01-01,39
PC,COMM,LT,1999-01-01,
PC,COMM,LT,2000-01-01,
PC,COMM,LT,2001-01-01,
PC,COMM,LT,2002-01-01,
PC,COMM,LT,2003-01-01,
PC,COMM,LT,2004-01-01,62
PC,COMM,LT,2005-01-01,51
PC,COMM,LT,2006-01-01,59
PC,COMM,LT,2007-01-01,53
PC,COMM,LT,2008-01-01,55
PC,COMM,LT,2009-01-01,49
PC,COMM,LT,2010-01-01,55
PC,COMM,LT,2011-01-01,
PC,COMM,LT,2012-01-01,56
PC,COMM,LT,2013-01-01,
PC,COMM,LT,2014-01-01,58
PC,COMM,LT,2015-01-01,56
PC,COMM,LT,2016-01-01,58
PC,COMM,LT,2017-01-01,58
PC,COMM,LU,1999-01-01,52
PC,COMM,LU,2000-01-01,60
PC,COMM,LU,2001-01-01,67
PC,COMM,LU,2002-01-01,74
PC,COMM,LU,2003-01-01,61
PC,COMM,LU,2004-01-01,67
PC,COMM,LU,2005-01-01,63
PC,COMM,LU,2006-01-01,63
PC,COMM,LU,2007-01-01,55
PC,COMM,LU,2008-01-01,57
PC,COMM,LU,2009-01-01,59
PC,COMM,LU,2010-01-01,64
PC,COMM,LU,2011-01-01,
PC,COMM,LU,2012-01-01,56
PC,COMM,LU,2013-01-01,
PC,COMM,LU,2014-01-01,57
PC,COMM,LU,2015-01-01,58
PC,COMM,LU,2016-01-01,63
PC,COMM,LU,2017-01-01,57
PC,COMM,LV,1999-01-01,
PC,COMM,LV,2000-01-01,
PC,COMM,LV,2001-01-01,
PC,COMM,LV,2002-01-01,
PC,COMM,LV,2003-01-01,
PC,COMM,LV,2004-01-01,41
PC,COMM,LV,2005-01-01,42
PC,COMM,LV,2006-01-01,46
PC,COMM,LV,2007-01-01,39
PC,COMM,LV,2008-01-01,38
PC,COMM,LV,2009-01-01,38
PC,COMM,LV,2010-01-01,42
PC,COMM,LV,2011-01-01,
PC,COMM,LV,2012-01-01,40
PC,COMM,LV,2013-01-01,
PC,COMM,LV,2014-01-01,45
PC,COMM,LV,2015-01-01,36
PC,COMM,LV,2016-01-01,43
PC,COMM,LV,2017-01-01,45
PC,COMM,ME,1999-01-01,
PC,COMM,ME,2000-01-01,
PC,COMM,ME,2001-01-01,
PC,COMM,ME,2002-01-01,
PC,COMM,ME,2003-01-01,
PC,COMM,ME,2004-01-01,
PC,COMM,ME,2005-01-01,
PC,COMM,ME,2006-01-01,
PC,COMM,ME,2007-01-01,
PC,COMM,ME,2008-01-01,
PC,COMM,ME,2009-01-01,
PC,COMM,ME,2010-01-01,
PC,COMM,ME,2011-01-01,
PC,COMM,ME,2012-01-01,
PC,COMM,ME,2013-01-01,
PC,COMM,ME,2014-01-01,42
PC,COMM,ME,2015-01-01,45
PC,COMM,ME,2016-01-01,45
PC,COMM,ME,2017-01-01,
PC,COMM,MK,1999-01-01,
PC,COMM,MK,2000-01-01,
PC,COMM,MK,2001-01-01,
PC,COMM,MK,2002-01-01,
PC,COMM,MK,2003-01-01,
PC,COMM,MK,2004-01-01,
PC,COMM,MK,2005-01-01,
PC,COMM,MK,2006-01-01,
PC,COMM,MK,2007-01-01,53
PC,COMM,MK,2008-01-01,45
PC,COMM,MK,2009-01-01,48
PC,COMM,MK,2010-01-01,41
PC,COMM,MK,2011-01-01,
PC,COMM,MK,2012-01-01,37
PC,COMM,MK,2013-01-01,
PC,COMM,MK,2014-01-01,41
PC,COMM,MK,2015-01-01,38
PC,COMM,MK,2016-01-01,42
PC,COMM,MK,2017-01-01,
PC,COMM,MT,1999-01-01,
PC,COMM,MT,2000-01-01,
PC,COMM,MT,2001-01-01,
PC,COMM,MT,2002-01-01,
PC,COMM,MT,2003-01-01,
PC,COMM,MT,2004-01-01,59
PC,COMM,MT,2005-01-01,60
PC,COMM,MT,2006-01-01,57
PC,COMM,MT,2007-01-01,60
PC,COMM,MT,2008-01-01,59
PC,COMM,MT,2009-01-01,55
PC,COMM,MT,2010-01-01,49
PC,COMM,MT,2011-01-01,
PC,COMM,MT,2012-01-01,49
PC,COMM,MT,2013-01-01,
PC,COMM,MT,2014-01-01,55
PC,COMM,MT,2015-01-01,50
PC,COMM,MT,2016-01-01,52
PC,COMM,MT,2017-01-01,51
PC,COMM,NL,1999-01-01,48
PC,COMM,NL,2000-01-01,52
PC,COMM,NL,2001-01-01,59
PC,COMM,NL,2002-01-01,60
PC,COMM,NL,2003-01-01,52
PC,COMM,NL,2004-01-01,57
PC,COMM,NL,2005-01-01,51
PC,COMM,NL,2006-01-01,54
PC,COMM,NL,2007-01-01,59
PC,COMM,NL,2008-01-01,62
PC,COMM,NL,2009-01-01,61
PC,COMM,NL,2010-01-01,61
PC,COMM,NL,2011-01-01,
PC,COMM,NL,2012-01-01,53
PC,COMM,NL,2013-01-01,
PC,COMM,NL,2014-01-01,54
PC,COMM,NL,2015-01-01,50
PC,COMM,NL,2016-01-01,51
PC,COMM,NL,2017-01-01,56
PC,COMM,PL,1999-01-01,
PC,COMM,PL,2000-01-01,
PC,COMM,PL,2001-01-01,
PC,COMM,PL,2002-01-01,
PC,COMM,PL,2003-01-01,
PC,COMM,PL,2004-01-01,51
PC,COMM,PL,2005-01-01,46
PC,COMM,PL,2006-01-01,58
PC,COMM,PL,2007-01-01,61
PC,COMM,PL,2008-01-01,47
PC,COMM,PL,2009-01-01,48
PC,COMM,PL,2010-01-01,53
PC,COMM,PL,2011-01-01,
PC,COMM,PL,2012-01-01,58
PC,COMM,PL,2013-01-01,
PC,COMM,PL,2014-01-01,48
PC,COMM,PL,2015-01-01,42
PC,COMM,PL,2016-01-01,50
PC,COMM,PL,2017-01-01,45
PC,COMM,PT,1999-01-01,62
PC,COMM,PT,2000-01-01,52
PC,COMM,PT,2001-01-01,58
PC,COMM,PT,2002-01-01,58
PC,COMM,PT,2003-01-01,56
PC,COMM,PT,2004-01-01,61
PC,COMM,PT,2005-01-01,65
PC,COMM,PT,2006-01-01,60
PC,COMM,PT,2007-01-01,59
PC,COMM,PT,2008-01-01,53
PC,COMM,PT,2009-01-01,61
PC,COMM,PT,2010-01-01,52
PC,COMM,PT,2011-01-01,
PC,COMM,PT,2012-01-01,44
PC,COMM,PT,2013-01-01,
PC,COMM,PT,2014-01-01,43
PC,COMM,PT,2015-01-01,42
PC,COMM,PT,2016-01-01,45
PC,COMM,PT,2017-01-01,45
PC,COMM,RO,1999-01-01,
PC,COMM,RO,2000-01-01,
PC,COMM,RO,2001-01-01,
PC,COMM,RO,2002-01-01,
PC,COMM,RO,2003-01-01,
PC,COMM,RO,2004-01-01,59
PC,COMM,RO,2005-01-01,62
PC,COMM,RO,2006-01-01,62
PC,COMM,RO,2007-01-01,60
PC,COMM,RO,2008-01-01,55
PC,COMM,RO,2009-01-01,58
PC,COMM,RO,2010-01-01,54
PC,COMM,RO,2011-01-01,
PC,COMM,RO,2012-01-01,50
PC,COMM,RO,2013-01-01,
PC,COMM,RO,2014-01-01,59
PC,COMM,RO,2015-01-01,56
PC,COMM,RO,2016-01-01,51
PC,COMM,RO,2017-01-01,50
PC,COMM,SE,1999-01-01,38
PC,COMM,SE,2000-01-01,35
PC,COMM,SE,2001-01-01,45
PC,COMM,SE,2002-01-01,45
PC,COMM,SE,2003-01-01,44
PC,COMM,SE,2004-01-01,47
PC,COMM,SE,2005-01-01,42
PC,COMM,SE,2006-01-01,53
PC,COMM,SE,2007-01-01,49
PC,COMM,SE,2008-01-01,52
PC,COMM,SE,2009-01-01,49
PC,COMM,SE,2010-01-01,55
PC,COMM,SE,2011-01-01,
PC,COMM,SE,2012-01-01,54
PC,COMM,SE,2013-01-01,
PC,COMM,SE,2014-01-01,51
PC,COMM,SE,2015-01-01,50
PC,COMM,SE,2016-01-01,54
PC,COMM,SE,2017-01-01,60
PC,COMM,SI,1999-01-01,
PC,COMM,SI,2000-01-01,
PC,COMM,SI,2001-01-01,
PC,COMM,SI,2002-01-01,
PC,COMM,SI,2003-01-01,
PC,COMM,SI,2004-01-01,64
PC,COMM,SI,2005-01-01,56
PC,COMM,SI,2006-01-01,73
PC,COMM,SI,2007-01-01,61
PC,COMM,SI,2008-01-01,61
PC,COMM,SI,2009-01-01,46
PC,COMM,SI,2010-01-01,51
PC,COMM,SI,2011-01-01,
PC,COMM,SI,2012-01-01,47
PC,COMM,SI,2013-01-01,
PC,COMM,SI,2014-01-01,40
PC,COMM,SI,2015-01-01,30
PC,COMM,SI,2016-01-01,33
PC,COMM,SI,2017-01-01,36
PC,COMM,SK,1999-01-01,
PC,COMM,SK,2000-01-01,
PC,COMM,SK,2001-01-01,
PC,COMM,SK,2002-01-01,
PC,COMM,SK,2003-01-01,
PC,COMM,SK,2004-01-01,61
PC,COMM,SK,2005-01-01,57
PC,COMM,SK,2006-01-01,66
PC,COMM,SK,2007-01-01,62
PC,COMM,SK,2008-01-01,63
PC,COMM,SK,2009-01-01,64
PC,COMM,SK,2010-01-01,66
PC,COMM,SK,2011-01-01,
PC,COMM,SK,2012-01-01,53
PC,COMM,SK,2013-01-01,
PC,COMM,SK,2014-01-01,47
PC,COMM,SK,2015-01-01,41
PC,COMM,SK,2016-01-01,43
PC,COMM,SK,2017-01-01,44
PC,COMM,TR,1999-01-01,
PC,COMM,TR,2000-01-01,
PC,COMM,TR,2001-01-01,
PC,COMM,TR,2002-01-01,
PC,COMM,TR,2003-01-01,
PC,COMM,TR,2004-01-01,39
PC,COMM,TR,2005-01-01,33
PC,COMM,TR,2006-01-01,32
PC,COMM,TR,2007-01-01,17
PC,COMM,TR,2008-01-01,19
PC,COMM,TR,2009-01-01,18
PC,COMM,TR,2010-01-01,11
PC,COMM,TR,2011-01-01,
PC,COMM,TR,2012-01-01,20
PC,COMM,TR,2013-01-01,
PC,COMM,TR,2014-01-01,14
PC,COMM,TR,2015-01-01,34
PC,COMM,TR,2016-01-01,27
PC,COMM,TR,2017-01-01,
PC,COMM,UK,1999-01-01,24
PC,COMM,UK,2000-01-01,24
PC,COMM,UK,2001-01-01,35
PC,COMM,UK,2002-01-01,31
PC,COMM,UK,2003-01-01,26
PC,COMM,UK,2004-01-01,39
PC,COMM,UK,2005-01-01,26
PC,COMM,UK,2006-01-01,25
PC,COMM,UK,2007-01-01,22
PC,COMM,UK,2008-01-01,27
PC,COMM,UK,2009-01-01,21
PC,COMM,UK,2010-01-01,21
PC,COMM,UK,2011-01-01,
PC,COMM,UK,2012-01-01,24
PC,COMM,UK,2013-01-01,
PC,COMM,UK,2014-01-01,25
PC,COMM,UK,2015-01-01,24
PC,COMM,UK,2016-01-01,29
PC,COMM,UK,2017-01-01,29
PC,ECB,AT,1999-01-01,46
PC,ECB,AT,2000-01-01,45
PC,ECB,AT,2001-01-01,54
PC,ECB,AT,2002-01-01,58
PC,ECB,AT,2003-01-01,52
PC,ECB,AT,2004-01-01,50
PC,ECB,AT,2005-01-01,53
PC,ECB,AT,2006-01-01,55
PC,ECB,AT,2007-01-01,57
PC,ECB,AT,2008-01-01,57
PC,ECB,AT,2009-01-01,58
PC,ECB,AT,2010-01-01,50
PC,ECB,AT,2011-01-01,
PC,ECB,AT,2012-01-01,49
PC,ECB,AT,2013-01-01,
PC,ECB,AT,2014-01-01,50
PC,ECB,AT,2015-01-01,41
PC,ECB,AT,2016-01-01,45
PC,ECB,AT,2017-01-01,45
PC,ECB,BE,1999-01-01,44
PC,ECB,BE,2000-01-01,46
PC,ECB,BE,2001-01-01,55
PC,ECB,BE,2002-01-01,55
PC,ECB,BE,2003-01-01,46
PC,ECB,BE,2004-01-01,68
PC,ECB,BE,2005-01-01,58
PC,ECB,BE,2006-01-01,65
PC,ECB,BE,2007-01-01,62
PC,ECB,BE,2008-01-01,64
PC,ECB,BE,2009-01-01,55
PC,ECB,BE,2010-01-01,57
PC,ECB,BE,2011-01-01,
PC,ECB,BE,2012-01-01,44
PC,ECB,BE,2013-01-01,
PC,ECB,BE,2014-01-01,41
PC,ECB,BE,2015-01-01,46
PC,ECB,BE,2016-01-01,49
PC,ECB,BE,2017-01-01,52
PC,ECB,BG,1999-01-01,
PC,ECB,BG,2000-01-01,
PC,ECB,BG,2001-01-01,
PC,ECB,BG,2002-01-01,
PC,ECB,BG,2003-01-01,
PC,ECB,BG,2004-01-01,50
PC,ECB,BG,2005-01-01,41
PC,ECB,BG,2006-01-01,48
PC,ECB,BG,2007-01-01,39
PC,ECB,BG,2008-01-01,49
PC,ECB,BG,2009-01-01,49
PC,ECB,BG,2010-01-01,52
PC,ECB,BG,2011-01-01,
PC,ECB,BG,2012-01-01,50
PC,ECB,BG,2013-01-01,
PC,ECB,BG,2014-01-01,44
PC,ECB,BG,2015-01-01,39
PC,ECB,BG,2016-01-01,46
PC,ECB,BG,2017-01-01,47
PC,ECB,CY,1999-01-01,
PC,ECB,CY,2000-01-01,
PC,ECB,CY,2001-01-01,
PC,ECB,CY,2002-01-01,
PC,ECB,CY,2003-01-01,
PC,ECB,CY,2004-01-01,54
PC,ECB,CY,2005-01-01,50
PC,ECB,CY,2006-01-01,46
PC,ECB,CY,2007-01-01,51
PC,ECB,CY,2008-01-01,49
PC,ECB,CY,2009-01-01,53
PC,ECB,CY,2010-01-01,50
PC,ECB,CY,2011-01-01,
PC,ECB,CY,2012-01-01,34
PC,ECB,CY,2013-01-01,
PC,ECB,CY,2014-01-01,24
PC,ECB,CY,2015-01-01,19
PC,ECB,CY,2016-01-01,23
PC,ECB,CY,2017-01-01,36
PC,ECB,CZ,1999-01-01,
PC,ECB,CZ,2000-01-01,
PC,ECB,CZ,2001-01-01,
PC,ECB,CZ,2002-01-01,
PC,ECB,CZ,2003-01-01,
PC,ECB,CZ,2004-01-01,47
PC,ECB,CZ,2005-01-01,49
PC,ECB,CZ,2006-01-01,55
PC,ECB,CZ,2007-01-01,54
PC,ECB,CZ,2008-01-01,57
PC,ECB,CZ,2009-01-01,52
PC,ECB,CZ,2010-01-01,54
PC,ECB,CZ,2011-01-01,
PC,ECB,CZ,2012-01-01,46
PC,ECB,CZ,2013-01-01,
PC,ECB,CZ,2014-01-01,39
PC,ECB,CZ,2015-01-01,31
PC,ECB,CZ,2016-01-01,35
PC,ECB,CZ,2017-01-01,38
PC,ECB,DE,1999-01-01,46
PC,ECB,DE,2000-01-01,45
PC,ECB,DE,2001-01-01,56
PC,ECB,DE,2002-01-01,59
PC,ECB,DE,2003-01-01,50
PC,ECB,DE,2004-01-01,55
PC,ECB,DE,2005-01-01,56
PC,ECB,DE,2006-01-01,60
PC,ECB,DE,2007-01-01,61
PC,ECB,DE,2008-01-01,56
PC,ECB,DE,2009-01-01,52
PC,ECB,DE,2010-01-01,50
PC,ECB,DE,2011-01-01,
PC,ECB,DE,2012-01-01,39
PC,ECB,DE,2013-01-01,
PC,ECB,DE,2014-01-01,35
PC,ECB,DE,2015-01-01,35
PC,ECB,DE,2016-01-01,33
PC,ECB,DE,2017-01-01,39
PC,ECB,DK,1999-01-01,39
PC,ECB,DK,2000-01-01,48
