unit,landcover,geotime,date,value
KM2,LCA1,LV,2012-01-01,364.0
KM2,LCA1,LV,2015-01-01,370.0
KM2,LCA1,MT,2009-01-01,
KM2,LCA1,MT,2012-01-01,50.0
KM2,LCA1,MT,2015-01-01,49.0
KM2,LCA1,NL,2009-01-01,1224.0
KM2,LCA1,NL,2012-01-01,1349.0
KM2,LCA1,NL,2015-01-01,1409.0
KM2,LCA1,PL,2009-01-01,3644.0
KM2,LCA1,PL,2012-01-01,3734.0
KM2,LCA1,PL,2015-01-01,3877.0
KM2,LCA1,PT,2009-01-01,1416.0
KM2,LCA1,PT,2012-01-01,1468.0
KM2,LCA1,PT,2015-01-01,1500.0
KM2,LCA1,RO,2009-01-01,
KM2,LCA1,RO,2012-01-01,2077.0
KM2,LCA1,RO,2015-01-01,2154.0
KM2,LCA1,SE,2009-01-01,1365.0
KM2,LCA1,SE,2012-01-01,1478.0
KM2,LCA1,SE,2015-01-01,1518.0
KM2,LCA1,SI,2009-01-01,148.0
KM2,LCA1,SI,2012-01-01,153.0
KM2,LCA1,SI,2015-01-01,154.0
KM2,LCA1,SK,2009-01-01,516.0
KM2,LCA1,SK,2012-01-01,550.0
KM2,LCA1,SK,2015-01-01,552.0
KM2,LCA1,UK,2009-01-01,5420.0
KM2,LCA1,UK,2012-01-01,5548.0
KM2,LCA1,UK,2015-01-01,5798.0
PC,LCA1,AT,2009-01-01,1.3
PC,LCA1,AT,2012-01-01,1.4
PC,LCA1,AT,2015-01-01,1.4
PC,LCA1,BE,2009-01-01,4.7
PC,LCA1,BE,2012-01-01,5.4
PC,LCA1,BE,2015-01-01,5.5
PC,LCA1,BG,2009-01-01,
PC,LCA1,BG,2012-01-01,0.6
PC,LCA1,BG,2015-01-01,0.6
PC,LCA1,CY,2009-01-01,
PC,LCA1,CY,2012-01-01,1.4
PC,LCA1,CY,2015-01-01,1.4
PC,LCA1,CZ,2009-01-01,1.3
PC,LCA1,CZ,2012-01-01,1.4
PC,LCA1,CZ,2015-01-01,1.5
PC,LCA1,DE,2009-01-01,2.3
PC,LCA1,DE,2012-01-01,2.4
PC,LCA1,DE,2015-01-01,2.5
PC,LCA1,DK,2009-01-01,2.2
PC,LCA1,DK,2012-01-01,2.3
PC,LCA1,DK,2015-01-01,2.3
PC,LCA1,EE,2009-01-01,0.6
PC,LCA1,EE,2012-01-01,0.6
PC,LCA1,EE,2015-01-01,0.6
PC,LCA1,EL,2009-01-01,0.9
PC,LCA1,EL,2012-01-01,1.0
PC,LCA1,EL,2015-01-01,1.0
PC,LCA1,ES,2009-01-01,1.0
PC,LCA1,ES,2012-01-01,1.0
PC,LCA1,ES,2015-01-01,1.0
PC,LCA1,EU27,2009-01-01,
PC,LCA1,EU27,2012-01-01,1.3
PC,LCA1,EU27,2015-01-01,1.3
PC,LCA1,EU28,2009-01-01,
PC,LCA1,EU28,2012-01-01,
PC,LCA1,EU28,2015-01-01,1.3
PC,LCA1,EU_V,2009-01-01,1.3
PC,LCA1,EU_V,2012-01-01,
PC,LCA1,EU_V,2015-01-01,
PC,LCA1,FI,2009-01-01,0.3
PC,LCA1,FI,2012-01-01,0.3
PC,LCA1,FI,2015-01-01,0.3
PC,LCA1,FR,2009-01-01,1.4
PC,LCA1,FR,2012-01-01,1.5
PC,LCA1,FR,2015-01-01,1.5
PC,LCA1,HR,2009-01-01,
PC,LCA1,HR,2012-01-01,
PC,LCA1,HR,2015-01-01,1.0
PC,LCA1,HU,2009-01-01,1.5
PC,LCA1,HU,2012-01-01,1.6
PC,LCA1,HU,2015-01-01,1.6
PC,LCA1,IE,2009-01-01,1.1
PC,LCA1,IE,2012-01-01,1.2
PC,LCA1,IE,2015-01-01,1.2
PC,LCA1,IT,2009-01-01,2.1
PC,LCA1,IT,2012-01-01,2.2
PC,LCA1,IT,2015-01-01,2.2
PC,LCA1,LT,2009-01-01,1.1
PC,LCA1,LT,2012-01-01,1.1
PC,LCA1,LT,2015-01-01,1.2
PC,LCA1,LU,2009-01-01,2.5
PC,LCA1,LU,2012-01-01,2.6
PC,LCA1,LU,2015-01-01,2.6
PC,LCA1,LV,2009-01-01,0.6
PC,LCA1,LV,2012-01-01,0.6
PC,LCA1,LV,2015-01-01,0.6
PC,LCA1,MT,2009-01-01,
PC,LCA1,MT,2012-01-01,15.7
PC,LCA1,MT,2015-01-01,15.6
PC,LCA1,NL,2009-01-01,3.3
PC,LCA1,NL,2012-01-01,3.6
PC,LCA1,NL,2015-01-01,3.8
PC,LCA1,PL,2009-01-01,1.2
PC,LCA1,PL,2012-01-01,1.2
PC,LCA1,PL,2015-01-01,1.2
PC,LCA1,PT,2009-01-01,1.6
PC,LCA1,PT,2012-01-01,1.7
PC,LCA1,PT,2015-01-01,1.7
PC,LCA1,RO,2009-01-01,
PC,LCA1,RO,2012-01-01,0.9
PC,LCA1,RO,2015-01-01,0.9
PC,LCA1,SE,2009-01-01,0.3
PC,LCA1,SE,2012-01-01,0.3
PC,LCA1,SE,2015-01-01,0.3
PC,LCA1,SI,2009-01-01,0.7
PC,LCA1,SI,2012-01-01,0.8
PC,LCA1,SI,2015-01-01,0.8
PC,LCA1,SK,2009-01-01,1.1
PC,LCA1,SK,2012-01-01,1.1
PC,LCA1,SK,2015-01-01,1.1
PC,LCA1,UK,2009-01-01,2.2
PC,LCA1,UK,2012-01-01,2.3
PC,LCA1,UK,2015-01-01,2.4
