sex,age,indic_eu,unit,geotime,date,value
T,TOTAL,T2020_53,PC,CY,2011-01-01,11
T,TOTAL,T2020_53,PC,CY,2012-01-01,15
T,TOTAL,T2020_53,PC,CY,2013-01-01,16
T,TOTAL,T2020_53,PC,CY,2014-01-01,15
T,TOTAL,T2020_53,PC,CY,2015-01-01,15
T,TOTAL,T2020_53,PC,CY,2016-01-01,13
T,TOTAL,T2020_53,PC,CY,2017-01-01,11
T,TOTAL,T2020_53,PC,CZ,2003-01-01,
T,TOTAL,T2020_53,PC,CZ,2004-01-01,
T,TOTAL,T2020_53,PC,CZ,2005-01-01,11
T,TOTAL,T2020_53,PC,CZ,2006-01-01,9
T,TOTAL,T2020_53,PC,CZ,2007-01-01,7
T,TOTAL,T2020_53,PC,CZ,2008-01-01,6
T,TOTAL,T2020_53,PC,CZ,2009-01-01,6
T,TOTAL,T2020_53,PC,CZ,2010-01-01,6
T,TOTAL,T2020_53,PC,CZ,2011-01-01,6
T,TOTAL,T2020_53,PC,CZ,2012-01-01,6
T,TOTAL,T2020_53,PC,CZ,2013-01-01,6
T,TOTAL,T2020_53,PC,CZ,2014-01-01,6
T,TOTAL,T2020_53,PC,CZ,2015-01-01,5
T,TOTAL,T2020_53,PC,CZ,2016-01-01,4
T,TOTAL,T2020_53,PC,CZ,2017-01-01,3
T,TOTAL,T2020_53,PC,DE,2003-01-01,
T,TOTAL,T2020_53,PC,DE,2004-01-01,
T,TOTAL,T2020_53,PC,DE,2005-01-01,4
T,TOTAL,T2020_53,PC,DE,2006-01-01,5
T,TOTAL,T2020_53,PC,DE,2007-01-01,4
T,TOTAL,T2020_53,PC,DE,2008-01-01,5
T,TOTAL,T2020_53,PC,DE,2009-01-01,5
T,TOTAL,T2020_53,PC,DE,2010-01-01,4
T,TOTAL,T2020_53,PC,DE,2011-01-01,5
T,TOTAL,T2020_53,PC,DE,2012-01-01,4
T,TOTAL,T2020_53,PC,DE,2013-01-01,5
T,TOTAL,T2020_53,PC,DE,2014-01-01,5
T,TOTAL,T2020_53,PC,DE,2015-01-01,4
T,TOTAL,T2020_53,PC,DE,2016-01-01,3
T,TOTAL,T2020_53,PC,DE,2017-01-01,3
T,TOTAL,T2020_53,PC,DK,2003-01-01,2
T,TOTAL,T2020_53,PC,DK,2004-01-01,2
T,TOTAL,T2020_53,PC,DK,2005-01-01,3
T,TOTAL,T2020_53,PC,DK,2006-01-01,3
T,TOTAL,T2020_53,PC,DK,2007-01-01,3
T,TOTAL,T2020_53,PC,DK,2008-01-01,2
T,TOTAL,T2020_53,PC,DK,2009-01-01,2
T,TOTAL,T2020_53,PC,DK,2010-01-01,2
T,TOTAL,T2020_53,PC,DK,2011-01-01,2
T,TOTAL,T2020_53,PC,DK,2012-01-01,2
T,TOTAL,T2020_53,PC,DK,2013-01-01,3
T,TOTAL,T2020_53,PC,DK,2014-01-01,3
T,TOTAL,T2020_53,PC,DK,2015-01-01,3
T,TOTAL,T2020_53,PC,DK,2016-01-01,2
T,TOTAL,T2020_53,PC,DK,2017-01-01,3
T,TOTAL,T2020_53,PC,EA18,2003-01-01,
T,TOTAL,T2020_53,PC,EA18,2004-01-01,
T,TOTAL,T2020_53,PC,EA18,2005-01-01,6
T,TOTAL,T2020_53,PC,EA18,2006-01-01,5
T,TOTAL,T2020_53,PC,EA18,2007-01-01,5
T,TOTAL,T2020_53,PC,EA18,2008-01-01,5
T,TOTAL,T2020_53,PC,EA18,2009-01-01,5
T,TOTAL,T2020_53,PC,EA18,2010-01-01,5
T,TOTAL,T2020_53,PC,EA18,2011-01-01,6
T,TOTAL,T2020_53,PC,EA18,2012-01-01,7
T,TOTAL,T2020_53,PC,EA18,2013-01-01,7
T,TOTAL,T2020_53,PC,EA18,2014-01-01,7
T,TOTAL,T2020_53,PC,EA18,2015-01-01,7
T,TOTAL,T2020_53,PC,EA18,2016-01-01,6
T,TOTAL,T2020_53,PC,EA18,2017-01-01,5
T,TOTAL,T2020_53,PC,EA19,2003-01-01,
T,TOTAL,T2020_53,PC,EA19,2004-01-01,
T,TOTAL,T2020_53,PC,EA19,2005-01-01,6
T,TOTAL,T2020_53,PC,EA19,2006-01-01,6
T,TOTAL,T2020_53,PC,EA19,2007-01-01,5
T,TOTAL,T2020_53,PC,EA19,2008-01-01,5
T,TOTAL,T2020_53,PC,EA19,2009-01-01,6
T,TOTAL,T2020_53,PC,EA19,2010-01-01,6
T,TOTAL,T2020_53,PC,EA19,2011-01-01,6
T,TOTAL,T2020_53,PC,EA19,2012-01-01,7
T,TOTAL,T2020_53,PC,EA19,2013-01-01,7
T,TOTAL,T2020_53,PC,EA19,2014-01-01,7
T,TOTAL,T2020_53,PC,EA19,2015-01-01,7
T,TOTAL,T2020_53,PC,EA19,2016-01-01,6
T,TOTAL,T2020_53,PC,EA19,2017-01-01,5
T,TOTAL,T2020_53,PC,EE,2003-01-01,
T,TOTAL,T2020_53,PC,EE,2004-01-01,9
T,TOTAL,T2020_53,PC,EE,2005-01-01,12
T,TOTAL,T2020_53,PC,EE,2006-01-01,7
T,TOTAL,T2020_53,PC,EE,2007-01-01,5
T,TOTAL,T2020_53,PC,EE,2008-01-01,4
T,TOTAL,T2020_53,PC,EE,2009-01-01,6
T,TOTAL,T2020_53,PC,EE,2010-01-01,9
T,TOTAL,T2020_53,PC,EE,2011-01-01,8
T,TOTAL,T2020_53,PC,EE,2012-01-01,9
T,TOTAL,T2020_53,PC,EE,2013-01-01,7
T,TOTAL,T2020_53,PC,EE,2014-01-01,6
T,TOTAL,T2020_53,PC,EE,2015-01-01,4
T,TOTAL,T2020_53,PC,EE,2016-01-01,4
T,TOTAL,T2020_53,PC,EE,2017-01-01,4
T,TOTAL,T2020_53,PC,EL,2003-01-01,16
T,TOTAL,T2020_53,PC,EL,2004-01-01,14
T,TOTAL,T2020_53,PC,EL,2005-01-01,12
T,TOTAL,T2020_53,PC,EL,2006-01-01,11
T,TOTAL,T2020_53,PC,EL,2007-01-01,11
T,TOTAL,T2020_53,PC,EL,2008-01-01,11
T,TOTAL,T2020_53,PC,EL,2009-01-01,11
T,TOTAL,T2020_53,PC,EL,2010-01-01,11
T,TOTAL,T2020_53,PC,EL,2011-01-01,15
T,TOTAL,T2020_53,PC,EL,2012-01-01,19
T,TOTAL,T2020_53,PC,EL,2013-01-01,20
T,TOTAL,T2020_53,PC,EL,2014-01-01,21
T,TOTAL,T2020_53,PC,EL,2015-01-01,22
T,TOTAL,T2020_53,PC,EL,2016-01-01,22
T,TOTAL,T2020_53,PC,EL,2017-01-01,21
T,TOTAL,T2020_53,PC,ES,2003-01-01,
T,TOTAL,T2020_53,PC,ES,2004-01-01,4
T,TOTAL,T2020_53,PC,ES,2005-01-01,4
T,TOTAL,T2020_53,PC,ES,2006-01-01,4
T,TOTAL,T2020_53,PC,ES,2007-01-01,3
T,TOTAL,T2020_53,PC,ES,2008-01-01,3
T,TOTAL,T2020_53,PC,ES,2009-01-01,4
T,TOTAL,T2020_53,PC,ES,2010-01-01,4
T,TOTAL,T2020_53,PC,ES,2011-01-01,4
T,TOTAL,T2020_53,PC,ES,2012-01-01,5
T,TOTAL,T2020_53,PC,ES,2013-01-01,6
T,TOTAL,T2020_53,PC,ES,2014-01-01,7
T,TOTAL,T2020_53,PC,ES,2015-01-01,6
T,TOTAL,T2020_53,PC,ES,2016-01-01,5
T,TOTAL,T2020_53,PC,ES,2017-01-01,5
T,TOTAL,T2020_53,PC,EU,2003-01-01,
T,TOTAL,T2020_53,PC,EU,2004-01-01,
T,TOTAL,T2020_53,PC,EU,2005-01-01,
T,TOTAL,T2020_53,PC,EU,2006-01-01,
T,TOTAL,T2020_53,PC,EU,2007-01-01,
T,TOTAL,T2020_53,PC,EU,2008-01-01,8
T,TOTAL,T2020_53,PC,EU,2009-01-01,8
T,TOTAL,T2020_53,PC,EU,2010-01-01,8
T,TOTAL,T2020_53,PC,EU,2011-01-01,8
T,TOTAL,T2020_53,PC,EU,2012-01-01,9
T,TOTAL,T2020_53,PC,EU,2013-01-01,9
T,TOTAL,T2020_53,PC,EU,2014-01-01,8
T,TOTAL,T2020_53,PC,EU,2015-01-01,8
T,TOTAL,T2020_53,PC,EU,2016-01-01,7
T,TOTAL,T2020_53,PC,EU,2017-01-01,6
T,TOTAL,T2020_53,PC,EU27,2003-01-01,
T,TOTAL,T2020_53,PC,EU27,2004-01-01,
T,TOTAL,T2020_53,PC,EU27,2005-01-01,10
T,TOTAL,T2020_53,PC,EU27,2006-01-01,9
T,TOTAL,T2020_53,PC,EU27,2007-01-01,9
T,TOTAL,T2020_53,PC,EU27,2008-01-01,8
T,TOTAL,T2020_53,PC,EU27,2009-01-01,8
T,TOTAL,T2020_53,PC,EU27,2010-01-01,8
T,TOTAL,T2020_53,PC,EU27,2011-01-01,8
T,TOTAL,T2020_53,PC,EU27,2012-01-01,9
T,TOTAL,T2020_53,PC,EU27,2013-01-01,9
T,TOTAL,T2020_53,PC,EU27,2014-01-01,8
T,TOTAL,T2020_53,PC,EU27,2015-01-01,8
T,TOTAL,T2020_53,PC,EU27,2016-01-01,7
T,TOTAL,T2020_53,PC,EU27,2017-01-01,6
T,TOTAL,T2020_53,PC,EU28,2003-01-01,
T,TOTAL,T2020_53,PC,EU28,2004-01-01,
T,TOTAL,T2020_53,PC,EU28,2005-01-01,
T,TOTAL,T2020_53,PC,EU28,2006-01-01,
T,TOTAL,T2020_53,PC,EU28,2007-01-01,
T,TOTAL,T2020_53,PC,EU28,2008-01-01,
T,TOTAL,T2020_53,PC,EU28,2009-01-01,
T,TOTAL,T2020_53,PC,EU28,2010-01-01,8
T,TOTAL,T2020_53,PC,EU28,2011-01-01,8
T,TOTAL,T2020_53,PC,EU28,2012-01-01,9
T,TOTAL,T2020_53,PC,EU28,2013-01-01,9
T,TOTAL,T2020_53,PC,EU28,2014-01-01,8
T,TOTAL,T2020_53,PC,EU28,2015-01-01,8
T,TOTAL,T2020_53,PC,EU28,2016-01-01,7
T,TOTAL,T2020_53,PC,EU28,2017-01-01,6
T,TOTAL,T2020_53,PC,FI,2003-01-01,
T,TOTAL,T2020_53,PC,FI,2004-01-01,3
T,TOTAL,T2020_53,PC,FI,2005-01-01,3
T,TOTAL,T2020_53,PC,FI,2006-01-01,3
T,TOTAL,T2020_53,PC,FI,2007-01-01,3
T,TOTAL,T2020_53,PC,FI,2008-01-01,3
T,TOTAL,T2020_53,PC,FI,2009-01-01,2
T,TOTAL,T2020_53,PC,FI,2010-01-01,2
T,TOTAL,T2020_53,PC,FI,2011-01-01,3
T,TOTAL,T2020_53,PC,FI,2012-01-01,2
T,TOTAL,T2020_53,PC,FI,2013-01-01,2
T,TOTAL,T2020_53,PC,FI,2014-01-01,2
T,TOTAL,T2020_53,PC,FI,2015-01-01,2
T,TOTAL,T2020_53,PC,FI,2016-01-01,2
T,TOTAL,T2020_53,PC,FI,2017-01-01,2
T,TOTAL,T2020_53,PC,FR,2003-01-01,
T,TOTAL,T2020_53,PC,FR,2004-01-01,6
T,TOTAL,T2020_53,PC,FR,2005-01-01,5
T,TOTAL,T2020_53,PC,FR,2006-01-01,5
T,TOTAL,T2020_53,PC,FR,2007-01-01,4
T,TOTAL,T2020_53,PC,FR,2008-01-01,5
T,TOTAL,T2020_53,PC,FR,2009-01-01,5
T,TOTAL,T2020_53,PC,FR,2010-01-01,5
T,TOTAL,T2020_53,PC,FR,2011-01-01,5
T,TOTAL,T2020_53,PC,FR,2012-01-01,5
T,TOTAL,T2020_53,PC,FR,2013-01-01,4
T,TOTAL,T2020_53,PC,FR,2014-01-01,4
T,TOTAL,T2020_53,PC,FR,2015-01-01,4
T,TOTAL,T2020_53,PC,FR,2016-01-01,4
T,TOTAL,T2020_53,PC,FR,2017-01-01,4
T,TOTAL,T2020_53,PC,HR,2003-01-01,
T,TOTAL,T2020_53,PC,HR,2004-01-01,
T,TOTAL,T2020_53,PC,HR,2005-01-01,
T,TOTAL,T2020_53,PC,HR,2006-01-01,
T,TOTAL,T2020_53,PC,HR,2007-01-01,
T,TOTAL,T2020_53,PC,HR,2008-01-01,
T,TOTAL,T2020_53,PC,HR,2009-01-01,
T,TOTAL,T2020_53,PC,HR,2010-01-01,14
T,TOTAL,T2020_53,PC,HR,2011-01-01,15
T,TOTAL,T2020_53,PC,HR,2012-01-01,15
T,TOTAL,T2020_53,PC,HR,2013-01-01,14
T,TOTAL,T2020_53,PC,HR,2014-01-01,13
T,TOTAL,T2020_53,PC,HR,2015-01-01,13
T,TOTAL,T2020_53,PC,HR,2016-01-01,12
T,TOTAL,T2020_53,PC,HR,2017-01-01,10
T,TOTAL,T2020_53,PC,HU,2003-01-01,
T,TOTAL,T2020_53,PC,HU,2004-01-01,
T,TOTAL,T2020_53,PC,HU,2005-01-01,22
T,TOTAL,T2020_53,PC,HU,2006-01-01,20
T,TOTAL,T2020_53,PC,HU,2007-01-01,19
T,TOTAL,T2020_53,PC,HU,2008-01-01,17
T,TOTAL,T2020_53,PC,HU,2009-01-01,20
T,TOTAL,T2020_53,PC,HU,2010-01-01,21
T,TOTAL,T2020_53,PC,HU,2011-01-01,23
T,TOTAL,T2020_53,PC,HU,2012-01-01,26
T,TOTAL,T2020_53,PC,HU,2013-01-01,27
T,TOTAL,T2020_53,PC,HU,2014-01-01,24
T,TOTAL,T2020_53,PC,HU,2015-01-01,19
T,TOTAL,T2020_53,PC,HU,2016-01-01,16
T,TOTAL,T2020_53,PC,HU,2017-01-01,14
T,TOTAL,T2020_53,PC,IE,2003-01-01,5
T,TOTAL,T2020_53,PC,IE,2004-01-01,4
T,TOTAL,T2020_53,PC,IE,2005-01-01,5
T,TOTAL,T2020_53,PC,IE,2006-01-01,4
T,TOTAL,T2020_53,PC,IE,2007-01-01,4
T,TOTAL,T2020_53,PC,IE,2008-01-01,5
T,TOTAL,T2020_53,PC,IE,2009-01-01,6
T,TOTAL,T2020_53,PC,IE,2010-01-01,5
T,TOTAL,T2020_53,PC,IE,2011-01-01,7
T,TOTAL,T2020_53,PC,IE,2012-01-01,9
T,TOTAL,T2020_53,PC,IE,2013-01-01,9
T,TOTAL,T2020_53,PC,IE,2014-01-01,8
T,TOTAL,T2020_53,PC,IE,2015-01-01,7
T,TOTAL,T2020_53,PC,IE,2016-01-01,6
T,TOTAL,T2020_53,PC,IE,2017-01-01,
T,TOTAL,T2020_53,PC,IS,2003-01-01,
T,TOTAL,T2020_53,PC,IS,2004-01-01,2
T,TOTAL,T2020_53,PC,IS,2005-01-01,2
T,TOTAL,T2020_53,PC,IS,2006-01-01,2
T,TOTAL,T2020_53,PC,IS,2007-01-01,2
T,TOTAL,T2020_53,PC,IS,2008-01-01,0
T,TOTAL,T2020_53,PC,IS,2009-01-01,0
T,TOTAL,T2020_53,PC,IS,2010-01-01,1
T,TOTAL,T2020_53,PC,IS,2011-01-01,2
T,TOTAL,T2020_53,PC,IS,2012-01-01,2
T,TOTAL,T2020_53,PC,IS,2013-01-01,1
T,TOTAL,T2020_53,PC,IS,2014-01-01,1
T,TOTAL,T2020_53,PC,IS,2015-01-01,1
T,TOTAL,T2020_53,PC,IS,2016-01-01,1
T,TOTAL,T2020_53,PC,IS,2017-01-01,
T,TOTAL,T2020_53,PC,IT,2003-01-01,
T,TOTAL,T2020_53,PC,IT,2004-01-01,7
T,TOTAL,T2020_53,PC,IT,2005-01-01,6
T,TOTAL,T2020_53,PC,IT,2006-01-01,6
T,TOTAL,T2020_53,PC,IT,2007-01-01,7
T,TOTAL,T2020_53,PC,IT,2008-01-01,7
T,TOTAL,T2020_53,PC,IT,2009-01-01,7
T,TOTAL,T2020_53,PC,IT,2010-01-01,7
T,TOTAL,T2020_53,PC,IT,2011-01-01,11
T,TOTAL,T2020_53,PC,IT,2012-01-01,14
T,TOTAL,T2020_53,PC,IT,2013-01-01,12
T,TOTAL,T2020_53,PC,IT,2014-01-01,11
T,TOTAL,T2020_53,PC,IT,2015-01-01,11
T,TOTAL,T2020_53,PC,IT,2016-01-01,12
T,TOTAL,T2020_53,PC,IT,2017-01-01,10
T,TOTAL,T2020_53,PC,LT,2003-01-01,
T,TOTAL,T2020_53,PC,LT,2004-01-01,
T,TOTAL,T2020_53,PC,LT,2005-01-01,32
T,TOTAL,T2020_53,PC,LT,2006-01-01,25
T,TOTAL,T2020_53,PC,LT,2007-01-01,16
T,TOTAL,T2020_53,PC,LT,2008-01-01,12
T,TOTAL,T2020_53,PC,LT,2009-01-01,15
T,TOTAL,T2020_53,PC,LT,2010-01-01,19
T,TOTAL,T2020_53,PC,LT,2011-01-01,19
T,TOTAL,T2020_53,PC,LT,2012-01-01,19
T,TOTAL,T2020_53,PC,LT,2013-01-01,16
T,TOTAL,T2020_53,PC,LT,2014-01-01,13
T,TOTAL,T2020_53,PC,LT,2015-01-01,13
T,TOTAL,T2020_53,PC,LT,2016-01-01,13
T,TOTAL,T2020_53,PC,LT,2017-01-01,12
T,TOTAL,T2020_53,PC,LU,2003-01-01,1
T,TOTAL,T2020_53,PC,LU,2004-01-01,0
T,TOTAL,T2020_53,PC,LU,2005-01-01,1
T,TOTAL,T2020_53,PC,LU,2006-01-01,1
T,TOTAL,T2020_53,PC,LU,2007-01-01,0
T,TOTAL,T2020_53,PC,LU,2008-01-01,0
T,TOTAL,T2020_53,PC,LU,2009-01-01,1
T,TOTAL,T2020_53,PC,LU,2010-01-01,0
T,TOTAL,T2020_53,PC,LU,2011-01-01,1
T,TOTAL,T2020_53,PC,LU,2012-01-01,1
T,TOTAL,T2020_53,PC,LU,2013-01-01,1
T,TOTAL,T2020_53,PC,LU,2014-01-01,1
T,TOTAL,T2020_53,PC,LU,2015-01-01,2
T,TOTAL,T2020_53,PC,LU,2016-01-01,1
T,TOTAL,T2020_53,PC,LU,2017-01-01,1
T,TOTAL,T2020_53,PC,LV,2003-01-01,
T,TOTAL,T2020_53,PC,LV,2004-01-01,
T,TOTAL,T2020_53,PC,LV,2005-01-01,39
T,TOTAL,T2020_53,PC,LV,2006-01-01,31
T,TOTAL,T2020_53,PC,LV,2007-01-01,24
T,TOTAL,T2020_53,PC,LV,2008-01-01,19
T,TOTAL,T2020_53,PC,LV,2009-01-01,22
T,TOTAL,T2020_53,PC,LV,2010-01-01,27
T,TOTAL,T2020_53,PC,LV,2011-01-01,31
T,TOTAL,T2020_53,PC,LV,2012-01-01,25
T,TOTAL,T2020_53,PC,LV,2013-01-01,24
T,TOTAL,T2020_53,PC,LV,2014-01-01,19
T,TOTAL,T2020_53,PC,LV,2015-01-01,16
T,TOTAL,T2020_53,PC,LV,2016-01-01,12
T,TOTAL,T2020_53,PC,LV,2017-01-01,11
T,TOTAL,T2020_53,PC,MK,2003-01-01,
T,TOTAL,T2020_53,PC,MK,2004-01-01,
T,TOTAL,T2020_53,PC,MK,2005-01-01,
T,TOTAL,T2020_53,PC,MK,2006-01-01,
T,TOTAL,T2020_53,PC,MK,2007-01-01,
T,TOTAL,T2020_53,PC,MK,2008-01-01,
T,TOTAL,T2020_53,PC,MK,2009-01-01,
T,TOTAL,T2020_53,PC,MK,2010-01-01,34
T,TOTAL,T2020_53,PC,MK,2011-01-01,40
T,TOTAL,T2020_53,PC,MK,2012-01-01,40
T,TOTAL,T2020_53,PC,MK,2013-01-01,37
T,TOTAL,T2020_53,PC,MK,2014-01-01,35
T,TOTAL,T2020_53,PC,MK,2015-01-01,30
T,TOTAL,T2020_53,PC,MK,2016-01-01,30
T,TOTAL,T2020_53,PC,MK,2017-01-01,
T,TOTAL,T2020_53,PC,MT,2003-01-01,
T,TOTAL,T2020_53,PC,MT,2004-01-01,
T,TOTAL,T2020_53,PC,MT,2005-01-01,5
T,TOTAL,T2020_53,PC,MT,2006-01-01,3
T,TOTAL,T2020_53,PC,MT,2007-01-01,4
T,TOTAL,T2020_53,PC,MT,2008-01-01,4
T,TOTAL,T2020_53,PC,MT,2009-01-01,5
T,TOTAL,T2020_53,PC,MT,2010-01-01,6
T,TOTAL,T2020_53,PC,MT,2011-01-01,6
T,TOTAL,T2020_53,PC,MT,2012-01-01,9
T,TOTAL,T2020_53,PC,MT,2013-01-01,9
T,TOTAL,T2020_53,PC,MT,2014-01-01,10
T,TOTAL,T2020_53,PC,MT,2015-01-01,8
T,TOTAL,T2020_53,PC,MT,2016-01-01,4
T,TOTAL,T2020_53,PC,MT,2017-01-01,3
T,TOTAL,T2020_53,PC,NL,2003-01-01,
T,TOTAL,T2020_53,PC,NL,2004-01-01,
T,TOTAL,T2020_53,PC,NL,2005-01-01,2
T,TOTAL,T2020_53,PC,NL,2006-01-01,2
T,TOTAL,T2020_53,PC,NL,2007-01-01,1
T,TOTAL,T2020_53,PC,NL,2008-01-01,1
T,TOTAL,T2020_53,PC,NL,2009-01-01,1
T,TOTAL,T2020_53,PC,NL,2010-01-01,2
T,TOTAL,T2020_53,PC,NL,2011-01-01,2
T,TOTAL,T2020_53,PC,NL,2012-01-01,2
T,TOTAL,T2020_53,PC,NL,2013-01-01,2
T,TOTAL,T2020_53,PC,NL,2014-01-01,3
T,TOTAL,T2020_53,PC,NL,2015-01-01,2
T,TOTAL,T2020_53,PC,NL,2016-01-01,2
T,TOTAL,T2020_53,PC,NL,2017-01-01,2
T,TOTAL,T2020_53,PC,NO,2003-01-01,3
T,TOTAL,T2020_53,PC,NO,2004-01-01,2
T,TOTAL,T2020_53,PC,NO,2005-01-01,3
T,TOTAL,T2020_53,PC,NO,2006-01-01,2
T,TOTAL,T2020_53,PC,NO,2007-01-01,2
T,TOTAL,T2020_53,PC,NO,2008-01-01,2
T,TOTAL,T2020_53,PC,NO,2009-01-01,2
T,TOTAL,T2020_53,PC,NO,2010-01-01,2
T,TOTAL,T2020_53,PC,NO,2011-01-01,2
T,TOTAL,T2020_53,PC,NO,2012-01-01,1
T,TOTAL,T2020_53,PC,NO,2013-01-01,1
T,TOTAL,T2020_53,PC,NO,2014-01-01,1
T,TOTAL,T2020_53,PC,NO,2015-01-01,1
T,TOTAL,T2020_53,PC,NO,2016-01-01,2
T,TOTAL,T2020_53,PC,NO,2017-01-01,1
T,TOTAL,T2020_53,PC,PL,2003-01-01,
T,TOTAL,T2020_53,PC,PL,2004-01-01,
T,TOTAL,T2020_53,PC,PL,2005-01-01,33
T,TOTAL,T2020_53,PC,PL,2006-01-01,27
T,TOTAL,T2020_53,PC,PL,2007-01-01,22
T,TOTAL,T2020_53,PC,PL,2008-01-01,17
T,TOTAL,T2020_53,PC,PL,2009-01-01,15
T,TOTAL,T2020_53,PC,PL,2010-01-01,14
T,TOTAL,T2020_53,PC,PL,2011-01-01,13
T,TOTAL,T2020_53,PC,PL,2012-01-01,13
T,TOTAL,T2020_53,PC,PL,2013-01-01,11
T,TOTAL,T2020_53,PC,PL,2014-01-01,10
T,TOTAL,T2020_53,PC,PL,2015-01-01,8
T,TOTAL,T2020_53,PC,PL,2016-01-01,6
T,TOTAL,T2020_53,PC,PL,2017-01-01,5
T,TOTAL,T2020_53,PC,PT,2003-01-01,
T,TOTAL,T2020_53,PC,PT,2004-01-01,9
T,TOTAL,T2020_53,PC,PT,2005-01-01,9
T,TOTAL,T2020_53,PC,PT,2006-01-01,9
T,TOTAL,T2020_53,PC,PT,2007-01-01,9
T,TOTAL,T2020_53,PC,PT,2008-01-01,9
T,TOTAL,T2020_53,PC,PT,2009-01-01,9
T,TOTAL,T2020_53,PC,PT,2010-01-01,9
T,TOTAL,T2020_53,PC,PT,2011-01-01,8
T,TOTAL,T2020_53,PC,PT,2012-01-01,8
T,TOTAL,T2020_53,PC,PT,2013-01-01,10
T,TOTAL,T2020_53,PC,PT,2014-01-01,10
T,TOTAL,T2020_53,PC,PT,2015-01-01,9
T,TOTAL,T2020_53,PC,PT,2016-01-01,8
T,TOTAL,T2020_53,PC,PT,2017-01-01,6
T,TOTAL,T2020_53,PC,RO,2003-01-01,
